cód_ibge;distritos;renda;quota;escolaridade;idade;mortalidade;txcresc;causasext;favel;denspop
1;Água Rasa;1961;34,62;7,6;32;13,86;-1,840000033;52,98;0;125,61
2;Alto de Pinheiros;4180;75,96;8,4;33;8,68;-2,519999981;38,57;0,69;57,56
3;Anhanguera;1093;4,5;5,8;23;15,36;18,12000084;22,68;0;8,57
4;Aricanduva;1311;21,02;6,8;27;18,43;-1,070000052;76,22;5,38;138,54
5;Artur Alvim;1248;15,91;7;27;19,73;-1,399999976;67,25;4,11;167,4
6;Barra Funda;2359;34,31;8;31;8,62;-2,140000105;37,9;4,85;25,6
7;Bela Vista;2400;53,65;8,4;32;12,41;-2,00999999;59,86;0;249,6
8;Belém;1813;31,99;7,7;32;11,27;-3,039999962;78,94;2,68;70,97
9;Bom Retiro;1710;37,55;7,7;30;22,95;-5,119999886;75,84;1,42;69,47
10;Brás;1942;28,97;7;30;13,64;-4,480000019;120,67;0;76,19
11;Brasilândia;975;8,22;5,8;22;22;3,140000105;125,02;16,6;112,06
12;Butantã;2311;50,32;8,4;31;18,13;-1,600000024;44,73;0,26;42,82
13;Cachoeirinha;1347;12,34;6,2;23;15,71;2,279999971;105,6;17,42;105,92
14;Cambuci;1958;37,39;7,8;32;7,42;-2,839999914;40,57;0;82,28
15;Campo Belo;3850;66,65;8,6;31;16,63;-3,109999895;68,08;6,86;75,63
16;Campo Grande;2592;32,91;8,2;29;19,5;0,670000017;76,9;2,18;64,77
17;Campo Limpo;1218;15,16;6,4;24;17,88;0,330000013;71,75;13,65;126,64
18;Cangaíba;1147;17,25;6,8;26;11,18;1,909999967;61,14;6,38;79,04
19;Capão Redondo;1246;10,29;6,1;23;17,64;0,699999988;102,5;18,65;147,3
20;Carrão;1923;32,58;7,4;31;12,34;-1,879999995;61,85;0;105,9
21;Casa Verde;1847;29,36;7,4;29;12,69;-1,600000024;67,67;0;125,26
22;Cidade Ademar;1396;16,2;6,3;24;19,49;0,239999995;82,12;16,22;194,66
23;Cidade Dutra;1371;15,12;6,5;24;21,85;0,870000005;79,36;20,44;60,16
24;Cidade Lider;1151;17,22;6,4;24;16,42;0,189999998;100,58;3,55;96,39
25;Cidade Tiradentes;895;1,06;6;21;24,46;11,06000042;104,97;0,62;108,44
26;Consolação;3117;84,69;8,8;35;16,42;-2,529999971;30,89;0;158,35
27;Cursino;2194;32,8;7,6;29;14,85;-1,179999948;72,03;1,87;81,32
28;Ermelino Matarazzo;1058;11,83;6,3;24;13,94;1,929999948;72,6;4,76;120,92
29;Freguesia do Ó;1538;24,04;7,1;27;16,3;-1,389999986;63,02;2,8;135,56
30;Grajaú;936;4,97;5,5;21;20,59;7,070000172;97,16;19,5;29,64
31;Guaianases;820;9,54;5,9;21;18,08;1,809999943;120,92;0,19;103,49
32;Moema;4504;83,69;8,6;34;8,54;-0,829999983;35,75;0;82,41
33;Iguatemi;866;4,84;5,4;21;19,61;8,470000267;99,45;3,26;45,83
34;Ipiranga;1892;33,66;7,6;31;17,59;-1,529999971;74,93;6,13;89,52
35;Itaim Bibi;3278;83,3;8,8;34;10,29;-3,799999952;76,54;0,38;89,46
36;Itaim Paulista;814;9,66;5,7;21;18,62;2,059999943;87,35;4,29;150,64
37;Itaquera;1182;12,42;6,4;24;16,99;1,029999971;82,94;3,23;126,4
38;Jabaquara;1905;24,47;7,1;27;12,62;-0,180000007;77,96;10,17;150,68
39;Jaçanã;1621;16,76;6,8;26;15,66;0,639999986;63,99;2,64;114,93
40;Jaguara;159;28,84;7,1;29;16,76;-2,890000105;50,99;1,97;55,93
41;Jaguaré;2124;32,87;7;26;10,82;-4,039999962;83,75;26,73;54,7
42;Jaraguá;1079;9,88;6,2;23;19,27;4,179999828;84,49;6,21;41,44
43;Jardim Ângela;912;6,22;5,4;21;20,91;4,420000076;117,35;15,75;59,2
44;Jardim Helena;893;9,22;5,6;21;17,13;3,059999943;75,67;12,7;151,21
45;Jardim Paulista;4318;104,73;8,7;36;6,46;-2,849999905;22,75;0;146,33
46;Jardim São Luís;1224;11,88;6,2;23;19,98;1,789999962;105,26;21,01;90,39
47;José Bonifácio;1075;12,26;6,8;23;17,72;0,039999999;72,11;0;73,71
48;Lapa;2462;48,12;8,4;35;11,34;-2,190000057;43,56;0;62,96
49;Liberdade;2106;49,17;8,3;31;10,4;-3,339999914;52,29;0;173,92
50;Limão;2266;21,59;7,1;27;13,32;-1,460000038;89,92;5,24;133,32
51;Mandaqui;1978;25,2;7,6;28;14,84;-0,400000006;51,46;0,42;77,84
52;Marsilac;988;0,61;4,8;20;44,25;4,360000134;65,81;0;0,37
53;Mooca;2466;50,06;8,2;34;16,16;-2,380000114;71,37;0;82,91
54;Morumbi;5146;102,01;7,4;28;12,35;-0,75;79,4;14,3;33,82
55;Parelheiros;901;4,51;5,2;21;14,39;8,220000267;115,22;6,66;5,38
56;Pari;1635;40,85;7,6;32;21,94;-6,239999771;99,96;0;53,22
57;Parque do Carmo;1271;14,19;6,1;23;16,02;0,50999999;68,91;4,88;36,46
58;Pedreira;1151;8,49;5,8;22;15,47;4,920000076;59,6;26,53;58,47
59;Penha;1896;27,12;7,4;30;16,12;-0,930000007;62,71;1,48;112,35
60;Perdizes;3456;61,27;8,7;34;9,23;-0,949999988;29,55;0;170,08
61;Perus;1006;9,78;5,8;23;21,51;4,460000038;80,99;4,34;24,1
62;Pinheiros;3711;80,59;8,3;35;12,78;-2,430000067;44,21;0;86,93
63;Pirituba;1417;21,27;7;26;17,23;-0,100000001;67,45;4,83;88,63
64;Ponte Rasa;1264;20,29;6,9;26;12,29;-0,829999983;62,09;3,28;153,89
65;Raposo Tavares;1296;12,74;6,4;23;14,68;1,019999981;56,35;10,23;69,21
66;República;2614;49,34;8,6;32;19,38;-2,99000001;71,75;0;215,94
67;Rio Pequeno;184;24,14;6,8;25;18,7;-0,660000026;68,41;19,67;102,5
68;Sarcomã;1608;19,1;6,8;26;13,02;0,529999971;82,18;20,34;152,72
69;Santa Cecília;2775;57,13;8,2;33;17,54;-2,450000048;64,3;0;194,43
70;Santana;2329;42,2;8,3;32;7,42;-0,839999974;47,07;0,89;104,77
71;Santo Amaro;3898;78,9;9,2;34;7,45;-3,569999933;62,43;0;40,38
72;São Lucas;1423;22,38;7;28;19,46;-0,99000001;52,29;1,35;146,1
73;São Mateus;1229;12,06;6,5;24;16,98;1,210000038;77,58;12,44;123,16
74;São Miguel;1023;14,92;6,4;24;22,35;0,129999995;81,81;5,61;138,21
75;São Rafael;922;9,84;6;23;19,42;2,470000029;90,58;6,78;76,92
76;Sapopemba;1087;13,69;6,1;24;18,78;-0,209999993;81,17;9,31;188,83
77;Saúde;2782;49,27;8,3;33;10,94;-1,429999948;46,46;1,12;132,35
78;Sé;1366;36,08;7,1;29;19,61;-4,800000191;127,37;0;101,21
79;Socorro;1987;36,3;8;30;6,86;-2,339999914;69,42;1,31;29,75
80;Tatuapé;2013;47,64;8,2;34;18,2;-1,090000033;43,68;0;94,5
81;Tremembé;1746;16,89;6,6;25;17,3;2,75999999;56,44;2,19;25,45
82;Tucuruvi;2381;33,28;8;31;13,16;-1,840000033;36,82;0;113,29
83;Vila Andrade;3357;52,03;6,5;23;15,9;4,929999828;104,5;45,69;52,57
84;Vila Curuçá;839;10,03;5,8;22;21,31;2,230000019;85,81;6,7;143,1
85;Vila Formosa;2025;29,62;7,1;29;16,02;-1,370000005;48,55;0,88;123,53
86;Vila Guilherme;2202;30,53;7,4;30;14,05;-2,779999971;50,1;0;77,58
87;Vila Jacuí;1118;11,93;6,1;23;19,5;1,74000001;86,12;10,52;143,32
88;Vila Leopoldina;2908;44,39;7,7;30;18,26;-0,25;57,06;11,24;36,79
89;Vila Maria;1418;18,43;6,6;26;13,87;-1,590000033;63,17;7,6;95,94
90;Vila Mariana;3312;63,54;8,6;34;9,44;-1,330000043;33,18;0,87;144,41
91;Vila Matilde;1530;26;7,4;29;19,13;-1,830000043;58,73;0;111,7
92;Vila Medeiros;1405;19,76;6,8;27;15,43;-1,409999967;77,98;2,49;188,93
93;Vila Prudente;1755;32,08;7,2;30;14,36;-2,549999952;66,51;7,43;101,44
94;Vila Sônia;2970;41,41;7,4;27;16,76;-0,899999976;74,68;14,93;80,12
95;São Domingos;2047;23,51;6,8;26;14,3;0,709999979;62,35;8,55;72,92
96;Lajeado;775;8,49;5,4;21;18,65;2,829999924;103,32;3,84;141,01
